[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | INFO: Tag[ app_begin ] --START--
[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007559s ]
[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.008237s ]
[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | INFO: Tag[ action_begin ] --START--
[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | INFO: Run SwitchMobileTpl Behavior [ RunTime:0.003564s ]
[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | INFO: Tag[ action_begin ] --END-- [ RunTime:0.004553s ]
[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_template ] --START--
[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002941s ]
[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.003581s ]
[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_parse ] --START--
[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | NOTIC: [8] Undefined variable: toplist 006e6530434f2e95ebda115bdaef3963.php 第 115 行.
[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | INFO: Run ParseTemplate Behavior [ RunTime:0.105709s ]
[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.106311s ]
[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_filter ] --START--
[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | INFO: Run ContentReplace Behavior [ RunTime:0.002340s ]
[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | INFO: Run TokenBuild Behavior [ RunTime:0.024797s ]
[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001770s ]
[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003079s ]
[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.034024s ]
[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_end ] --START--
[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.009763s ]
[ 2013-08-08T09:17:33+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.011042s ]
[ 2013-08-08T09:17:34+08:00 ] /2013-8/tpm/Public/mobile/_assets/js/pDetail.js | ERR: (ThinkException) 无法加载模块Public
[ 2013-08-08T09:18:39+08:00 ] /2013-8/tpm/ | INFO: Tag[ app_begin ] --START--
[ 2013-08-08T09:18:39+08:00 ] /2013-8/tpm/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002393s ]
[ 2013-08-08T09:18:39+08:00 ] /2013-8/tpm/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003265s ]
[ 2013-08-08T09:18:39+08:00 ] /2013-8/tpm/ | INFO: Tag[ action_begin ] --START--
[ 2013-08-08T09:18:39+08:00 ] /2013-8/tpm/ | INFO: Run SwitchMobileTpl Behavior [ RunTime:0.002822s ]
[ 2013-08-08T09:18:39+08:00 ] /2013-8/tpm/ | INFO: Tag[ action_begin ] --END-- [ RunTime:0.003499s ]
[ 2013-08-08T09:18:40+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_template ] --START--
